date,KOUN%TOTQ,KOEMPTOTO,KOEMPWREP,KOPOPACTE,KOHWRWEMP,KOIMPCONA,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCONPRCF,KOCPCOREF,KOCPEXFEF,KOMSCONGG,KOPICONGG,KOSIAI..E,KOSIAWRTE,KOSIAHOTE,KOMPCONDG,KOMPCONNG,KOMPCONGG,KOBSIHAPR,KOBSIBNER,KOBSIBNMR,KOBSIEMAR,KOCNFCONR,KOCSHHLMR,KOCSHHEMR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOCSECEMR,KOCSEMEMR,KOCSEOHSR,KOCSEOHDR,KODBLNHSA,KOCALL.,KOLRLTHH,KOUS$...,KOCNPER.D,KOEXPGDSA,KOEXCHINA,KOIMPGDSA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KONEWCONA,KOVALCONA,KOPSMANUG,KOPIMANUG,KOIPALL.G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOCNFBUSR,KOBSIXMER,KOBSIBCOQ,KOBFDSAAF,KOBFXSAAF,KOBSIBCEQ,KOGDP...D,KOCNGOV.D,KOEXNGS.D,KOIMNGS.D,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOEQUIMAE,KOEQUITTE,KOCONPMTH,KOCONSTRP,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOBSIIMPR,KOBSIIMER,KOBFINAAF,KOBUSINVR,KODBLNEQA,KOLRLTCO,KO3YEARC,KOSHRPRCF,KOGFCF..D,KOGCFCNSD,KOGCFFNVD,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH
1985-06-30,,-0.14658841,,,0.396932624,,,,,,,,0.101540032,0.286761388,,1.892800989,-2.493894835,,,,0.634922768,0.404858853,0.0,,,,0.0,,,,,,,,,,,0.864309616,-0.4,,0.453557176,9.532095842,8.643138757,,-12.24831869,0.120797277,0.0,,0.0,-0.186393344,,8.107481192,,-0.930239266,0.0,,0.643089033,0.655740055,,,,,-1.3,-5.0,-5.0,-3.5,9.480683938,-3.481687604,14.37921274,-6.017653096,0.155878013,,,,,-32.64197044,,2.353049741,11.88612029,,,0.930239266,,14.9531734,,,,,0.842280157,,0.5,2.2928499,-17.9185926,-21.2848867,-19.23603134,,,,,,
1985-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006437871,0.0,-0.001314985,-0.1,-0.02042487,0.0
1985-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023603454,0.0,-0.01732401,-0.1,-0.034827808,0.0
1985-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019204137,-0.1,-0.036399959,-0.1,-0.043218957,-0.1
1985-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029718646,0.0,-0.013608834,0.0,-0.03168593,0.0
1985-07-31,,-0.096798024,,,-0.600744155,,,,,,,,0.0,0.222469502,,0.933132743,-0.506330196,,,,-3.871451218,1.404235712,0.607904608,,,,0.0,,,,,,,,,,,0.672248064,0.4,,0.167124581,,-8.269449208,,-0.22541366,-0.010060868,-0.062493492,,0.099235892,0.298062814,,11.69901578,,0.930239266,-3.36166108,,0.63897981,0.651468102,,,,,0.5,4.0,7.0,1.2,,,,,-0.931238693,,,,,2.108511849,,1.15608224,-9.962984095,,,0.0,,-3.774032798,,,,,1.383481944,,0.4,0.131109349,,,,,,,,,
1985-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026605965,0.0,0.019753416,0.0,-0.009505828,0.0
1985-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034401062,0.0,0.007895008,0.0,-0.012224194,0.0
1985-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.040628037,0.0,-0.00555015,0.0,-0.020668291,0.0
1985-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0224,0.0,-0.000956,0.0,0.033,0.0
