Model,SeriesID,SeriesName,Frequency,Block-Global,Block-Consumption,Block-Invstestment,Block-Exprtort,Block-Nominal,Block-Labor,Block-riskapp,Transformation,Units,Category,Release,note,"Model Production","Model Investment","Model Consumption",구분,데이터이름
1,KOCPCOREF,"CPI, ex Agricultural Products and Oils",m,1,0,0,0,1,0,0,chg,Index,Price,3,,0,0,1,물가,소비자물가(농산물·유류 제외)
1,KOCPEXFEF,CPI ex Food and Energy,m,1,0,0,0,1,0,0,chg,Index,Price,3,,1,0,1,물가,소비자물가(식료품·에너지 제외)
1,KOEQUIPTE,"Investment, Equipment, Estimation, SA",m,1,0,1,0,0,0,0,chg,Index,Investment,30,,1,1,0,설비투자,설비투자지수(계절조정)
1,KOEQUIMAE,"Investment, Machinery, SA, Index",m,1,0,1,0,0,0,0,chg,Index,Investment,30,,0,1,0,설비투자,"설비투자(기계류, 계절조정 지수)"
1,KOEQUITTE,"Investment, Transportation Equipment, SA, Index",m,1,0,1,0,0,0,0,chg,Index,Investment,30,,0,1,0,설비투자,"설비투자(운송장비, 계절조정 지수)"
1,KONEWCONA,"New Orders, Construction, Total, Value, KRW",m,1,0,1,0,1,0,0,chg,Index,Investment,30,Nom,0,1,0,건설,"건설 수주액(총액, 원)"
1,KOCONPMTH,"Building Permits, Floor Area",m,1,0,1,0,0,0,0,chg,Index,Investment,31,,0,1,0,건설,건축 인허가 면적
1,KOCONSTRP,"Construction Started, Floor Area",m,1,0,1,0,0,0,0,chg,Index,Investment,31,,0,1,0,건설,건설 착공 면적
1,KOVALCONA,"Construction Completed, Total, KRW",m,1,0,1,0,1,0,0,chg,Index,Investment,30,Nom,0,1,0,건설,"건설 준공액(총액, 원)"
1,KOPSMANUG,"Shipments, Manufacturing, SA, Index",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,제조업 출하지수(계절조정)
1,KOMSCAPGG,"Manufacturing Shipment - Capital Goods, SA",m,1,0,1,0,0,0,0,chg,Index,Production,30,,0,1,0,산업생산,"제조업 출하(자본재, 계절조정)"
1,KOMSCONGG,"Manufacturing Shipment - Consumer Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,"제조업 출하(소비재, 계절조정)"
1,KOPIMANUG,"Inventories, Manufacturing, SA, Index",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,제조업 재고지수(계절조정)
1,KOPICAPGG,"Producers Inventory - Capital Goods, SA, Index",m,1,0,1,0,0,0,0,chg,Index,Production,30,,0,1,0,산업생산,"제조업 재고(자본재, 계절조정)"
1,KOPICONGG,"Producers Inventory - Consumer Goods, SA, Index",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,"제조업 재고(소비재, 계절조정)"
1,KOSIAI..E,"Service Sector Index, Total, SA, Index",m,1,1,0,0,0,0,0,chg,Index,Production,30,,1,0,1,산업생산,"서비스업 활동지수(전체, 계절조정)"
1,KOSIAWRTE,"Service Sector, Wholesale and Retail Trade",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,서비스업(도·소매)
1,KOSIATRNE,"Service Sector, Transport",m,1,0,0,0,0,0,0,chg,Index,Production,30,,0,0,0,산업생산,서비스업(운수업)
1,KOSIAHOTE,"Service Sector, Accommodation and Food Service Activities",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,서비스업(숙박·음식점)
1,KOSIARRLE,"Service Sector, Real Estate and Renting and Leasing",m,1,0,0,0,0,0,0,chg,Index,Production,30,,0,1,0,산업생산,서비스업(부동산·임대업)
1,KOSSBFMBE,"Service Sector, Business Facilities Management and Business Support Services",m,1,0,0,0,0,0,0,chg,Index,Production,30,,0,1,0,산업생산,서비스업(사업시설·사업지원)
1,KOIPALL.G,"Production, All Industry Production",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,전산업생산지수
