=== GPU 메모리 모니터링 시작 ===
로그 파일: gpu_monitor.log
샘플링 간격: 1초
종료: Ctrl+C

timestamp,memory_used_mb,memory_total_mb,memory_percent,gpu_util,temperature,power_watts
2025-12-10 03:09:34,604,32607,1.85,25,38,105.38
2025-12-10 03:09:35,604,32607,1.85,25,38,105.89
2025-12-10 03:09:36,604,32607,1.85,25,38,106.16
2025-12-10 03:09:37,604,32607,1.85,25,38,106.40
2025-12-10 03:09:38,604,32607,1.85,25,39,106.18
2025-12-10 03:09:39,604,32607,1.85,25,39,105.92
2025-12-10 03:09:40,604,32607,1.85,25,39,106.00
2025-12-10 03:09:41,604,32607,1.85,25,39,105.74
2025-12-10 03:09:42,604,32607,1.85,25,39,106.62
2025-12-10 03:09:43,604,32607,1.85,25,39,109.46
2025-12-10 03:09:44,604,32607,1.85,25,39,108.12
2025-12-10 03:09:45,604,32607,1.85,25,39,107.21
2025-12-10 03:09:46,604,32607,1.85,25,39,107.11
2025-12-10 03:09:47,604,32607,1.85,25,39,107.19
2025-12-10 03:09:48,604,32607,1.85,24,39,107.25
2025-12-10 03:09:49,604,32607,1.85,25,39,107.11
2025-12-10 03:09:50,604,32607,1.85,25,39,107.01
2025-12-10 03:09:51,604,32607,1.85,25,39,107.58
2025-12-10 03:09:52,604,32607,1.85,24,39,106.96
2025-12-10 03:09:53,604,32607,1.85,25,39,107.58
2025-12-10 03:09:54,604,32607,1.85,25,39,107.02
2025-12-10 03:09:55,30038,32607,92.12,54,39,108.40
2025-12-10 03:09:56,30038,32607,92.12,54,39,112.73
2025-12-10 03:09:57,30038,32607,92.12,55,39,112.68
2025-12-10 03:09:58,30038,32607,92.12,54,39,112.72
2025-12-10 03:09:59,30038,32607,92.12,54,39,112.51
2025-12-10 03:10:00,30038,32607,92.12,54,39,112.36
2025-12-10 03:10:02,30038,32607,92.12,54,39,112.70
2025-12-10 03:10:03,30038,32607,92.12,54,39,112.60
2025-12-10 03:10:04,30038,32607,92.12,55,39,112.69
2025-12-10 03:10:05,30038,32607,92.12,54,39,112.70
2025-12-10 03:10:06,2,32607,0,0,39,99.79
2025-12-10 03:10:07,2,32607,0,0,39,94.60
2025-12-10 03:10:08,2,32607,0,0,37,63.67
2025-12-10 03:10:09,2,32607,0,0,37,50.43
2025-12-10 03:10:10,2,32607,0,0,37,24.06
2025-12-10 03:10:11,2,32607,0,0,37,20.71
2025-12-10 03:10:12,2,32607,0,0,37,12.32
2025-12-10 03:10:13,2,32607,0,0,36,12.37
2025-12-10 03:10:14,2,32607,0,0,36,12.32
2025-12-10 03:10:15,2,32607,0,0,36,12.17
2025-12-10 03:10:16,2,32607,0,0,36,11.83
2025-12-10 03:10:17,2,32607,0,0,36,11.74
2025-12-10 03:10:18,2,32607,0,0,36,11.59
2025-12-10 03:10:19,2,32607,0,0,36,11.67
2025-12-10 03:10:20,2,32607,0,0,36,12.33
2025-12-10 03:10:21,2,32607,0,0,36,11.47
2025-12-10 03:10:22,2,32607,0,0,36,11.43
2025-12-10 03:10:23,2,32607,0,0,36,11.15
